text,sentiment
This product is absolutely amazing I love it,positive
The battery life is terrible and drains so fast,negative
Best purchase I have ever made highly recommend,positive
Broke after two days total waste of money,negative
Works exactly as described very happy with it,positive
Arrived damaged and customer service was no help,negative
Incredible quality exceeded all my expectations,positive
The instructions are completely confusing and unclear,negative
Fast shipping and the item is perfect,positive
Stopped working within a week very disappointed,negative
Great value for the price solid build quality,positive
Looks nothing like the pictures very misleading,negative
Super easy to set up and use every day,positive
Cheaply made and falls apart quickly,negative
Absolutely love this product will buy again,positive
Worst purchase I have made in years,negative
Does exactly what it says and more,positive
The color faded after the first wash,negative
Five stars outstanding quality and design,positive
Way too small and the sizing is completely off,negative
Brilliant movie with a stunning ending,positive
Boring plot that goes absolutely nowhere,negative
One of the best films I have seen this year,positive
Terrible acting and a predictable storyline,negative
Visually spectacular and emotionally gripping,positive
A complete waste of two hours of my life,negative
The performances were truly breathtaking,positive
Poorly directed and difficult to follow,negative
A masterpiece from start to finish,positive
The script is weak and the dialogue is awful,negative
Heartwarming story with lovable characters,positive
Nothing made sense and the ending was terrible,negative
Kept me on the edge of my seat throughout,positive
Dragged on for far too long with no payoff,negative
Funny witty and endlessly entertaining,positive
The sound quality on this headset is crystal clear,positive
Keeps disconnecting every few minutes very frustrating,negative
Incredibly comfortable to wear for long sessions,positive
Hurts my ears after just twenty minutes of use,negative
The noise cancellation is absolutely top notch,positive
Microphone picks up every background noise possible,negative
Solid performance and worth every penny spent,positive
Overpriced for what you actually get,negative
Paired instantly and the range is impressive,positive
The cushions feel cheap and fall off easily,negative
Perfect for gaming and music alike,positive
This movie had me laughing from start to finish,positive
Completely unfunny and painfully slow,negative
Highly recommend to anyone looking for quality,positive
Very poor quality and not worth the price at all,negative
Exceptional performance beyond my expectations,positive
The product stopped working after just one use,negative
Absolutely stunning visuals and great storyline,positive
Dull uninteresting and a total disappointment,negative
Really impressed with how well this works,positive
Terrible customer support and no refund available,negative
Smooth experience from start to finish loved it,positive
Would not recommend this to anyone at all,negative
Loved every single moment of this brilliant film,positive
The worst movie I have ever sat through,negative
Fantastic build quality feels very premium,positive
Feels like a toy not worth the money,negative
Exactly what I needed works flawlessly,positive
Arrived broken and packaging was completely damaged,negative
Stunning performance by the entire cast,positive
Completely let down by the poor ending,negative
Beautifully designed and very intuitive to use,positive
Stopped charging after three days of use,negative
The storyline kept me hooked the entire time,positive
Way too loud even at the lowest volume setting,negative
Impressed by the attention to detail in this product,positive
Very underwhelming compared to the price I paid,negative
Delightful film full of warmth and great humor,positive
Fell apart on the first day of use,negative
Outstanding value and works better than expected,positive
The display keeps flickering and is very annoying,negative
Loved the clever script and the beautiful cinematography,positive
Battery drains completely in under two hours,negative
Perfect gift loved by everyone who received it,positive
The zipper broke on the very first day,negative
Gripping emotional and beautifully acted throughout,positive
Utterly boring from the first scene to the last,negative
Runs silently and efficiently very pleased,positive
Too complicated to set up and the app keeps crashing,negative
Excellent picture quality and very easy to install,positive
The remote stopped working after just one week,negative
Charming and funny highly recommend for all ages,positive
Sound cuts out randomly and very unreliable,negative
Premium feel and works perfectly every single time,positive
Cheap materials and the smell is very unpleasant,negative
Best headphones I have ever owned hands down,positive
Complete waste of money returned it immediately,negative
Vivid colors and sharp display very happy,positive
The buttons are stiff and very hard to press,negative
Lightweight and comfortable even after hours of use,positive
Packaging was destroyed and the item was scratched,negative
Incredible detail and craftsmanship in every component,positive
Stopped working after getting a tiny bit of moisture,negative
